Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,222.529999,223.000000,214.809998,217.690002,215.880417,37130100
2021-01-05,217.259995,218.520004,215.699997,217.899994,216.088684,23823000
2021-01-06,212.169998,216.490005,211.940002,212.250000,210.485641,35930700
2021-01-07,214.039993,219.339996,213.710007,218.289993,216.475418,27694500
2021-01-08,218.679993,220.580002,217.029999,219.619995,217.794373,22956200
2021-01-11,218.470001,218.910004,216.729996,217.490005,215.682098,23031300
2021-01-12,216.500000,217.100006,213.320007,214.929993,213.143356,23249300
2021-01-13,214.020004,216.759995,213.929993,216.339996,214.541626,20087100
2021-01-14,215.910004,217.460007,212.740005,213.020004,211.249252,29480800
2021-01-15,213.520004,214.509995,212.029999,212.649994,210.882309,31746500
2021-01-19,213.750000,216.979996,212.630005,216.440002,214.640823,30480900
2021-01-20,217.699997,225.789993,217.289993,224.339996,222.475143,37777300
2021-01-21,224.699997,226.300003,222.419998,224.970001,223.099915,30709400
2021-01-22,227.080002,230.070007,225.800003,225.949997,224.071747,30172700
2021-01-25,229.119995,229.779999,224.220001,229.529999,227.621994,33152100
2021-01-26,231.860001,234.179993,230.080002,232.330002,230.398727,49169600
2021-01-27,238.000000,240.440002,230.139999,232.899994,230.964005,69870600
2021-01-28,235.610001,242.639999,235.089996,238.929993,236.943848,49111200
2021-01-29,235.990005,238.020004,231.350006,231.960007,230.031815,42503100
2021-02-01,235.059998,242.500000,232.429993,239.649994,237.657883,33314200
2021-02-02,241.300003,242.309998,238.690002,239.509995,237.519043,25916300
2021-02-03,239.570007,245.089996,239.259995,243.000000,240.980042,27158100
2021-02-04,242.660004,243.240005,240.369995,242.009995,239.998245,25296100
2021-02-05,242.229996,243.279999,240.419998,242.199997,240.186691,18054800
2021-02-08,243.149994,243.679993,240.809998,242.470001,240.454437,22211900
2021-02-09,241.869995,244.759995,241.380005,243.770004,241.743637,23565000
2021-02-10,245.000000,245.919998,240.889999,242.820007,240.801529,22186700
2021-02-11,244.779999,245.149994,242.149994,244.490005,242.457672,15751100
2021-02-12,243.929993,245.300003,242.729996,244.990005,242.953491,16561100
2021-02-16,245.029999,246.130005,242.919998,243.699997,241.674210,26728500
2021-02-17,241.320007,244.309998,240.940002,244.199997,242.727814,21653500
2021-02-18,241.800003,243.929993,240.860001,243.789993,242.320282,16925600
2021-02-19,243.750000,243.860001,240.179993,240.970001,239.517303,25262600
2021-02-22,237.419998,237.929993,232.399994,234.509995,233.096222,36446900
2021-02-23,230.330002,234.830002,228.729996,233.270004,231.863708,30228700
2021-02-24,230.009995,235.199997,229.000000,234.550003,233.135986,26339700
2021-02-25,232.080002,234.589996,227.880005,228.990005,227.609528,39542200
2021-02-26,231.529999,235.369995,229.539993,232.380005,230.979080,37819200
2021-03-01,235.899994,237.470001,233.149994,236.940002,235.511581,25324000
2021-03-02,237.009995,237.300003,233.449997,233.869995,232.460098,22812500
2021-03-03,232.160004,233.580002,227.259995,227.559998,226.188141,34029500
2021-03-04,226.740005,232.490005,224.259995,226.729996,225.363129,44727800
2021-03-05,229.520004,233.270004,226.460007,231.600006,230.203781,41872800
2021-03-08,231.369995,233.369995,227.130005,227.389999,226.019150,35267400
2021-03-09,232.880005,235.380005,231.669998,233.779999,232.370621,33080500
2021-03-10,237.000000,237.000000,232.039993,232.419998,231.018829,29746800
2021-03-11,234.960007,239.169998,234.309998,237.130005,235.700424,29907600
2021-03-12,234.009995,235.820007,233.229996,235.750000,234.328766,22653700
2021-03-15,234.960007,235.190002,231.809998,234.809998,233.394424,26034900
2021-03-16,236.279999,240.059998,235.940002,237.710007,236.276947,28092200
2021-03-17,236.149994,238.550003,233.229996,237.039993,235.610977,29562100
2021-03-18,232.559998,234.190002,230.330002,230.720001,229.329086,34833000
2021-03-19,231.020004,232.470001,229.350006,230.350006,228.961319,46430700
2021-03-22,230.270004,236.899994,230.139999,235.990005,234.567322,30127000
2021-03-23,237.490005,241.050003,237.070007,237.580002,236.147720,31638400
2021-03-24,237.850006,238.000000,235.320007,235.460007,234.040512,25620100
2021-03-25,235.300003,236.940002,231.570007,232.339996,230.939316,34061900
2021-03-26,231.550003,236.710007,231.550003,236.479996,235.054352,25479900
2021-03-29,236.589996,236.800003,231.880005,235.240005,233.821838,25227500
2021-03-30,233.529999,233.850006,231.100006,231.850006,230.452271,24792000
2021-03-31,232.910004,239.100006,232.389999,235.770004,234.348633,43623500
2021-04-01,238.470001,242.839996,238.050003,242.350006,240.888977,30338000
2021-04-05,242.759995,249.960007,242.699997,249.070007,247.568451,36910600
2021-04-06,247.610001,249.399994,246.880005,247.860001,246.365738,22931900
2021-04-07,247.809998,250.929993,247.190002,249.899994,248.393448,22719800
2021-04-08,252.770004,254.139999,252.000000,253.250000,251.723251,23625200
2021-04-09,252.869995,255.990005,252.440002,255.850006,254.307587,24326800
2021-04-12,254.710007,257.670013,254.619995,255.910004,254.367218,27148700
2021-04-13,257.260010,259.190002,256.829987,258.489990,256.931641,23837500
2021-04-14,257.480011,258.829987,255.160004,255.589996,254.049133,23070900
2021-04-15,257.929993,259.929993,257.730011,259.500000,257.935577,25627500
2021-04-16,259.470001,261.000000,257.600006,260.739990,259.168091,24878600
2021-04-19,260.190002,261.480011,257.820007,258.739990,257.180145,23209300
2021-04-20,257.820007,260.200012,256.839996,258.260010,256.703064,19722900
2021-04-21,258.940002,260.679993,257.250000,260.579987,259.009064,24030400
2021-04-22,260.209991,261.779999,255.639999,257.170013,255.619644,25606200
2021-04-23,257.880005,261.510010,257.269989,261.149994,259.575653,21462600
2021-04-26,261.660004,262.440002,260.170013,261.549988,259.973236,19763300
2021-04-27,261.579987,263.190002,260.119995,261.970001,260.390686,31014200
2021-04-28,256.079987,256.540009,252.949997,254.559998,253.025360,46903100
2021-04-29,255.460007,256.100006,249.000000,252.509995,250.987717,40589000
2021-04-30,249.740005,253.080002,249.600006,252.179993,250.659698,30945100
2021-05-03,253.399994,254.350006,251.119995,251.860001,250.341644,19626600
2021-05-04,250.970001,251.210007,245.759995,247.789993,246.296173,32756100
2021-05-05,249.059998,249.500000,245.820007,246.470001,244.984146,21901300
2021-05-06,246.449997,249.860001,244.690002,249.729996,248.224472,26491100
2021-05-07,252.149994,254.300003,251.169998,252.460007,250.938034,27032900
2021-05-10,250.869995,251.729996,247.119995,247.179993,245.689850,29299900
2021-05-11,244.550003,246.600006,242.570007,246.229996,244.745575,33641600
2021-05-12,242.169998,244.380005,238.070007,239.000000,237.559174,36684400
2021-05-13,241.800003,245.600006,241.419998,243.029999,241.564865,29624300
